City_ID,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Temperature,Wind Speed
322,sept-iles,75,CA,1591216993,61,50.2,-66.38,48.2,47.7,12.75
323,bud,97,US,1591217238,57,39.45,-86.18,88.0,86.99,10.2
324,goderich,13,CA,1591217148,90,43.75,-81.72,66.99,63.97,3.0
325,panzhihua,57,CN,1591217238,77,26.59,101.71,68.14,68.14,1.83
326,ancud,28,CL,1591217238,66,-41.87,-73.82,52.0,51.89,5.82
327,kjollefjord,75,NO,1591217238,75,70.95,27.35,44.6,44.6,4.7
328,raudeberg,100,NO,1591217238,93,61.99,5.14,48.99,48.99,22.88
329,mayumba,99,GA,1591217238,89,-3.43,10.66,77.27,77.27,8.08
330,beloha,0,MG,1591217210,83,-25.17,45.05,63.5,63.5,8.12
331,pundaguitan,100,PH,1591217238,68,6.37,126.17,83.91,83.91,3.89
332,whyalla,0,AU,1591217238,93,-33.03,137.58,39.2,39.2,7.23
333,farmington,1,US,1591217136,13,36.73,-108.22,91.99,90.64,4.7
334,mtambile,49,TZ,1591217239,80,-5.38,39.7,78.44,78.44,15.01
335,los llanos de aridane,40,ES,1591217239,78,28.66,-17.92,71.6,66.96,2.24
336,dwarka,7,IN,1591217239,85,22.24,68.97,83.43,83.43,14.83
337,doka,15,SD,1591217239,44,13.52,35.77,82.6,82.6,10.27
338,santa lucia,40,ES,1591217239,73,27.91,-15.54,73.4,72.66,3.36
339,tautira,75,PF,1591217239,88,-17.73,-149.15,73.4,73.2,8.05
340,lancaster,1,US,1591217239,55,40.25,-76.25,87.01,84.76,6.93
341,antalaha,87,MG,1591217239,82,-14.9,50.28,74.01,74.01,9.84
342,tirlyanskiy,99,RU,1591217239,92,54.21,58.58,51.39,51.39,3.09
343,aquiraz,20,BR,1591217155,66,-3.9,-38.39,84.2,84.2,12.75
344,san carlos,5,VE,1591217239,54,9.66,-68.58,88.92,88.92,4.54
